period radius
2.4532 2.9958
7.9725 4.2605
2.4056 1.2727
15.9041 3.1049
2.4209 1.8568
40.0687 3.6151
7.4111 2.9428
8.9882 1.9382
23.0203 7.6004
6.3770 1.9117
91.0764 3.7191
17.1369 2.8522
4.1385 1.2063
6.0405 1.2115
29.3493 1.9163
20.3817 2.7898
7.0044 1.0514
16.2584 0.9996
31.8047 3.2390
40.9902 2.5311
23.2383 2.6072
20.4999 3.7214
16.8601 2.5143
27.5070 3.3131
6.4547 1.3778
2.1589 0.7774
2.3590 0.8502
3.3835 1.4686
13.3998 1.5867
17.5806 1.4718
2.9366 1.4752
4.3541 1.3651
2.2795 0.7800
8.8569 1.6734
3.0320 0.8788
2.5431 1.4758
1.9214 1.7194
28.5742 2.6040
8.4089 2.5625
15.5947 3.8684
278.1245 6.1542
3.8259 2.9144
2.4938 0.6684
24.1526 1.1592
5.1444 1.4779
57.1340 1.7295
10.0065 3.9902
0.8585 0.8255
6.4980 1.9955
18.0116 1.8030
7.9703 1.6083
11.2429 1.3274
16.5341 1.0756
4.0288 1.1119
6.1248 1.3860
8.9211 1.1654
10.4232 1.0913
5.3418 0.9670
10.3717 2.6691
3.9700 1.4795
22.0460 4.2636
3.9895 1.1564
11.1663 1.3931
4.6069 1.9209
35.5802 2.0351
5.8835 1.5356
265.4775 4.3827
96.1092 4.1801
33.4969 1.2702
27.6668 2.2262
42.4730 2.2150
5.1956 1.2859
8.0104 2.0472
15.5763 2.2510
0.6099 0.8797
32.7738 3.9875
16.0049 2.8679
85.3515 6.5200
9.8874 1.0925
3.1739 3.4473
7.0393 4.3995
192.6670 3.8864
2.2157 1.5823
5.3830 0.7497
5.0142 13.6297
7.2817 1.0503
13.0314 2.9111
2.6109 1.8176
16.8419 2.5360
75.8787 4.0277
4.4574 0.9334
6.2415 1.2571
169.5022 9.1886
141.7340 10.5994
6.8778 1.1973
16.2395 3.8796
28.8671 1.4200
6.3082 2.7793
211.0334 3.4397
237.8182 2.4104
13.0715 2.4193
5.9687 3.1870
15.9961 1.7183
1.0052 0.9427
0.8406 0.5702
14.1640 2.1705
6.2092 0.8197
2.0523 13.8552
11.8062 1.7078
7.7147 2.7679
16.8773 2.5082
20.0902 2.7037
5.1698 2.0016
9.7704 2.6834
1.9370 1.0600
7.0612 1.4867
1.7209 14.6191
1.3858 0.6277
2.2293 0.7384
127.2826 11.0117
30.1836 3.3425
2.5789 1.6458
7.1304 0.8383
2.5403 1.5707
4.2243 0.3836
52.5136 13.4394
0.6559 0.6440
1.4347 1.4632
3.8759 0.6677
13.8102 4.3788
65.7046 2.8491
10.0874 2.8742
17.7664 1.5998
10.2910 12.6779
52.7588 10.6921
0.3067 0.9374
55.6736 2.0839
19.4464 3.9071
6.9198 1.6796
77.6342 9.4347
11.6192 2.4740
3.1388 1.0999
56.6489 1.9425
25.2036 2.5669
157.0652 2.4217
15.7711 2.4130
7.3057 1.9437
1.6329 1.0209
20.7290 1.7561
13.7521 2.5172
12.7326 6.1835
13.3915 1.0548
5.6291 0.9238
8.2563 0.9922
2.7524 2.5519
18.1375 1.3997
13.9818 2.3460
247.3549 2.5685
44.0004 1.7502
83.9284 6.6238
11.9035 3.0903
34.0350 3.3321
4.6951 1.6860
4.2869 5.4189
1.4445 1.0942
4.0952 1.8959
12.7593 2.4791
25.7527 2.1871
51.1659 1.4498
5.4331 1.5504
8.5083 2.8535
11.1740 2.3546
17.5875 3.4268
92.2642 2.4540
7.5861 1.5200
207.5829 4.3950
84.6876 3.2735
10.6006 1.1427
37.8862 2.2325
37.3229 2.3500
10.3586 1.2833
4.1606 0.8062
3.2765 1.7769
6.3386 3.2539
5.6796 1.0689
11.8746 1.4147
366.0915 2.8382
3.4875 0.6935
8.4748 1.4587
66.1849 2.6631
224.1497 2.8721
5.6833 1.1565
148.1795 2.8713
5.6325 2.2661
20.4905 2.0800
